Kód kraja,Názov kraja,Číslo politického subjektu,Názov politického subjektu,Poradie na hlasovacom lístku,Meno,Priezvisko,Počet platných prednostných hlasov,Poznámka
1,Bratislavský kraj,3,Progresívne Slovensko,18,Zuzana,Mesterová,944,
1,Bratislavský kraj,3,Progresívne Slovensko,19,Ondrej,Prostredník,5295,
1,Bratislavský kraj,3,Progresívne Slovensko,20,Zuzana,Števulová,2898,
1,Bratislavský kraj,3,Progresívne Slovensko,21,Martin,Dubéci,1104,
1,Bratislavský kraj,3,Progresívne Slovensko,22,Darina,Luščíková,1183,
1,Bratislavský kraj,3,Progresívne Slovensko,23,Branislav,Vančo,1003,
1,Bratislavský kraj,3,Progresívne Slovensko,24,Tina,Gažovičová,6462,
1,Bratislavský kraj,3,Progresívne Slovensko,25,Tomáš,Hellebrandt,3526,
1,Bratislavský kraj,3,Progresívne Slovensko,26,Viera,Kalmárová,969,
1,Bratislavský kraj,3,Progresívne Slovensko,27,Martin,Pekár,650,
1,Bratislavský kraj,3,Progresívne Slovensko,28,Dana,Kleinert,2777,
1,Bratislavský kraj,3,Progresívne Slovensko,29,Dávid,Dej,543,
1,Bratislavský kraj,3,Progresívne Slovensko,30,Veronika,Veslárová,1494,
1,Bratislavský kraj,3,Progresívne Slovensko,31,Ján,Hargaš,3526,
1,Bratislavský kraj,3,Progresívne Slovensko,32,Veronika,Šrobová,473,
1,Bratislavský kraj,3,Progresívne Slovensko,33,Marek,Lackovič,451,
1,Bratislavský kraj,3,Progresívne Slovensko,34,Natália,Nash,642,
1,Bratislavský kraj,3,Progresívne Slovensko,35,Richard,Dubovický,842,
1,Bratislavský kraj,3,Progresívne Slovensko,36,Gréta,Gregorová,1353,
1,Bratislavský kraj,3,Progresívne Slovensko,37,Peter,Brozman,632,
1,Bratislavský kraj,3,Progresívne Slovensko,38,Martina,Žilková,583,
1,Bratislavský kraj,3,Progresívne Slovensko,39,Branislav,Tichý,1132,
1,Bratislavský kraj,3,Progresívne Slovensko,40,Zuzana,Prostredníková,1605,
1,Bratislavský kraj,3,Progresívne Slovensko,41,Tomáš,Bořuta,303,
1,Bratislavský kraj,3,Progresívne Slovensko,42,Soňa,Košičiarová,1290,
1,Bratislavský kraj,3,Progresívne Slovensko,43,Adam,Sarlós,506,
1,Bratislavský kraj,3,Progresívne Slovensko,44,Katarína,Mičová,432,
1,Bratislavský kraj,3,Progresívne Slovensko,45,Tomáš,Krjak,257,
1,Bratislavský kraj,3,Progresívne Slovensko,46,Dana,Cervanová,584,
1,Bratislavský kraj,3,Progresívne Slovensko,47,Tibor,Forró,263,
1,Bratislavský kraj,3,Progresívne Slovensko,48,Martina,Kolláriková,363,
1,Bratislavský kraj,3,Progresívne Slovensko,49,Miroslav,Kocúr,1565,
1,Bratislavský kraj,3,Progresívne Slovensko,50,Anna,Dojčanová,430,
1,Bratislavský kraj,3,Progresívne Slovensko,51,Sergej,Kára,873,
1,Bratislavský kraj,3,Progresívne Slovensko,52,Sofia Karina,Trommlerová,968,
1,Bratislavský kraj,3,Progresívne Slovensko,53,Milan,Laurinc,713,
1,Bratislavský kraj,3,Progresívne Slovensko,54,Eva,Kalkan,135,
1,Bratislavský kraj,3,Progresívne Slovensko,55,Ivan,Hudcovský,116,
1,Bratislavský kraj,3,Progresívne Slovensko,56,Renata,Igľárová,113,
1,Bratislavský kraj,3,Progresívne Slovensko,57,Milan,Polešenský,338,
1,Bratislavský kraj,3,Progresívne Slovensko,58,Natália,Heribanová,1233,
1,Bratislavský kraj,3,Progresívne Slovensko,59,Marián,Mališ,299,
1,Bratislavský kraj,3,Progresívne Slovensko,60,Elena,Cinová,306,
1,Bratislavský kraj,3,Progresívne Slovensko,61,Juraj,Gašpárek,139,
1,Bratislavský kraj,3,Progresívne Slovensko,62,Lucia,Francescato,189,
1,Bratislavský kraj,3,Progresívne Slovensko,63,Jozef,Ľos-Božik,137,
1,Bratislavský kraj,3,Progresívne Slovensko,64,Zuzana,Vargová,189,
1,Bratislavský kraj,3,Progresívne Slovensko,65,Pavol,Troiak,432,
1,Bratislavský kraj,3,Progresívne Slovensko,66,Ľubica,Bednárová,129,
1,Bratislavský kraj,3,Progresívne Slovensko,67,Marek,Štefanisko,34,
1,Bratislavský kraj,3,Progresívne Slovensko,68,Karolína,Blunárová,438,
1,Bratislavský kraj,3,Progresívne Slovensko,69,Krisztián,Váradi,288,
1,Bratislavský kraj,3,Progresívne Slovensko,70,Romana,Sládeková,428,
1,Bratislavský kraj,3,Progresívne Slovensko,71,Timotej,Süč,66,
1,Bratislavský kraj,3,Progresívne Slovensko,72,Jana,Kovačovská,123,
1,Bratislavský kraj,3,Progresívne Slovensko,73,Ján,Pullman,252,
1,Bratislavský kraj,3,Progresívne Slovensko,74,Lucia,Smažáková Karabínošová,121,
1,Bratislavský kraj,3,Progresívne Slovensko,75,Martin,Hanes,71,
1,Bratislavský kraj,3,Progresívne Slovensko,76,Ingrida,Gorcovská,102,
1,Bratislavský kraj,3,Progresívne Slovensko,77,Michal,Páleník,778,
1,Bratislavský kraj,3,Progresívne Slovensko,78,Miroslava,Vermeiren,365,
1,Bratislavský kraj,3,Progresívne Slovensko,79,Ondrej,Šarník,91,
1,Bratislavský kraj,3,Progresívne Slovensko,80,Veronika,Kvietková,236,
1,Bratislavský kraj,3,Progresívne Slovensko,81,Martin,Baloga,146,
1,Bratislavský kraj,3,Progresívne Slovensko,82,Henrieta,Slavkovská,61,
1,Bratislavský kraj,3,Progresívne Slovensko,83,Boris,Kriško,29,X
1,Bratislavský kraj,3,Progresívne Slovensko,84,Andrea,Báťková,95,
1,Bratislavský kraj,3,Progresívne Slovensko,85,Jozef,Bakša,45,
1,Bratislavský kraj,3,Progresívne Slovensko,86,Paula,Vojtek,120,
1,Bratislavský kraj,3,Progresívne Slovensko,87,Michal,Styk,64,
1,Bratislavský kraj,3,Progresívne Slovensko,88,Sylvia,Pohánková,83,
1,Bratislavský kraj,3,Progresívne Slovensko,89,Michal,Švajda,43,
1,Bratislavský kraj,3,Progresívne Slovensko,90,Anna,Beláková,203,
1,Bratislavský kraj,3,Progresívne Slovensko,91,Jakub,Jochman,154,
1,Bratislavský kraj,3,Progresívne Slovensko,92,Marianna,Piršelová,307,
1,Bratislavský kraj,3,Progresívne Slovensko,93,Václav,Papež,169,
1,Bratislavský kraj,3,Progresívne Slovensko,94,Lenka,Jusko,81,
1,Bratislavský kraj,3,Progresívne Slovensko,95,Pavel,Kendra,51,
1,Bratislavský kraj,3,Progresívne Slovensko,96,Jana,Popovičová,58,
1,Bratislavský kraj,3,Progresívne Slovensko,97,Lukáš,Šauša,96,
1,Bratislavský kraj,3,Progresívne Slovensko,98,Jana,Toličová,55,
1,Bratislavský kraj,3,Progresívne Slovensko,99,Marek,Gabonay,119,
1,Bratislavský kraj,3,Progresívne Slovensko,100,Zuzana,Lučkay Mihalčinová,74,
1,Bratislavský kraj,3,Progresívne Slovensko,101,Peter,Macsek,122,
1,Bratislavský kraj,3,Progresívne Slovensko,102,Magdaléna,Kováč Mergová,127,
1,Bratislavský kraj,3,Progresívne Slovensko,103,Erik,Illéš,203,
1,Bratislavský kraj,3,Progresívne Slovensko,104,Janette,Langová,164,
1,Bratislavský kraj,3,Progresívne Slovensko,105,Ladislav,Gála,40,
1,Bratislavský kraj,3,Progresívne Slovensko,106,Miroslava,Lukáčová,105,
1,Bratislavský kraj,3,Progresívne Slovensko,107,Peter,Lošonský,132,
1,Bratislavský kraj,3,Progresívne Slovensko,108,Barbora,Ugorová,55,
1,Bratislavský kraj,3,Progresívne Slovensko,109,Tibor,Bačinský,92,
1,Bratislavský kraj,3,Progresívne Slovensko,110,Michaela,Hinnerová,88,
1,Bratislavský kraj,3,Progresívne Slovensko,111,Róbert,Grega,82,
1,Bratislavský kraj,3,Progresívne Slovensko,112,Eva,Levrincová,52,
1,Bratislavský kraj,3,Progresívne Slovensko,113,Viktor,Pamula,85,
1,Bratislavský kraj,3,Progresívne Slovensko,114,Vanda,Prikler,103,
1,Bratislavský kraj,3,Progresívne Slovensko,115,Dominik,Radler,111,
1,Bratislavský kraj,3,Progresívne Slovensko,116,Naďa,Bohinská,37,
1,Bratislavský kraj,3,Progresívne Slovensko,117,Ľuboš,Ďubek,59,
1,Bratislavský kraj,3,Progresívne Slovensko,118,Lívia,Augustin Šimanská,239,
1,Bratislavský kraj,3,Progresívne Slovensko,119,Marek,Fúska,62,
1,Bratislavský kraj,3,Progresívne Slovensko,120,Monika,Sabanoš,49,
1,Bratislavský kraj,3,Progresívne Slovensko,121,Karol,Gubka,57,
1,Bratislavský kraj,3,Progresívne Slovensko,122,Zuzana,Čifári,106,
1,Bratislavský kraj,3,Progresívne Slovensko,123,Juraj,Mikulášek,164,
1,Bratislavský kraj,3,Progresívne Slovensko,124,Oľga,Krištofíková,93,
1,Bratislavský kraj,3,Progresívne Slovensko,125,Adam,Pekár,61,
1,Bratislavský kraj,3,Progresívne Slovensko,126,Denisa,Holečková,106,
1,Bratislavský kraj,3,Progresívne Slovensko,127,Igor,Holéczy,38,
1,Bratislavský kraj,3,Progresívne Slovensko,128,Gabriela,Langová,75,
1,Bratislavský kraj,3,Progresívne Slovensko,129,Samuel,Pekár,66,
1,Bratislavský kraj,3,Progresívne Slovensko,130,Zlatica,Miháliková,19,
1,Bratislavský kraj,3,Progresívne Slovensko,131,Peter,Višňovský,55,
1,Bratislavský kraj,3,Progresívne Slovensko,132,Eva,Pevná,228,
1,Bratislavský kraj,3,Progresívne Slovensko,133,Radoslav,Ruso,38,
1,Bratislavský kraj,3,Progresívne Slovensko,134,Martina,Kačániová,51,
1,Bratislavský kraj,3,Progresívne Slovensko,135,Peter,Matula,110,
1,Bratislavský kraj,3,Progresívne Slovensko,136,Katarína,Vidrová,98,
1,Bratislavský kraj,3,Progresívne Slovensko,137,Pavol,Ištok,44,
1,Bratislavský kraj,3,Progresívne Slovensko,138,Katarína,Nádaská,1643,
1,Bratislavský kraj,3,Progresívne Slovensko,139,Samuel,Paulini,148,
1,Bratislavský kraj,3,Progresívne Slovensko,140,Diana,Kleštincová,329,
1,Bratislavský kraj,3,Progresívne Slovensko,141,Marek,Líška,363,
1,Bratislavský kraj,3,Progresívne Slovensko,142,Adriana,Horská,23,
1,Bratislavský kraj,3,Progresívne Slovensko,143,Dávid,Šingovský,38,
1,Bratislavský kraj,3,Progresívne Slovensko,144,Eva,Rusnáková,232,
1,Bratislavský kraj,3,Progresívne Slovensko,145,Rastislav,Karczub,58,
1,Bratislavský kraj,3,Progresívne Slovensko,146,Tamara,Krenželáková,58,
1,Bratislavský kraj,3,Progresívne Slovensko,147,Peter,Pollák,131,
1,Bratislavský kraj,3,Progresívne Slovensko,148,Jana,Velická,295,
1,Bratislavský kraj,3,Progresívne Slovensko,149,Vanda,Rogovská,368,
1,Bratislavský kraj,3,Progresívne Slovensko,150,Jolana,Kusá,1387,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,1,Zuzana,Kondrlíková Plháková,57,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,2,Anna,Schlosserová,29,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,3,Katarína,Kralčáková,26,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,4,Martin,Fenďa,22,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,5,Miroslav,Kondrlík,7,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,6,Róbert,Winkler,9,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,7,Peter,Kondrát,6,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,8,Vladimír,Čonka,7,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,9,Peter,Smolka,6,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,10,Vladislav,Loderer,1,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,11,Daniel,Húšťa,3,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,12,Ľuboš,Kabát,1,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,13,Ľubomír,Klačko,2,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,14,Andrej,Krajiček,4,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,15,Štefan,Puška,4,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,16,Helena,Tirolová,9,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,17,Janette,Drapáková-Hubová,8,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,18,Miroslav,Kudela,3,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,19,Radovan,Bujňák,2,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,20,Ali,Kamberovič,3,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,21,Zdenka,Šprláková,1,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,22,Roman,Tlčina,1,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,23,Peter,Eliaš,2,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,24,Veronika,Hanuljaková,8,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,25,Michal,Ladič,8,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,26,Vladimír,Krška,2,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,27,Peter,Chmelo,3,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,28,Mariana,Hriňová,3,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,29,Ľubica,Kramarová,2,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,30,Natalia,Krajičková,3,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,31,Jana,Kufel Stýskalová,1,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,32,Diana,Badžová,0,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,33,Terézia,Tomaničková,2,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,34,Miroslava,Bednárová,2,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,35,Nina,Matejčeková,2,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,36,Ján,Haluška,3,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,37,Bohuš,Šottník,0,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,38,Michal,Blahovec,6,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,39,Daniela,Pavlovičová,1,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,40,Janka,Húšťová,2,X
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,41,Mário,Winkler,6,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,42,Matúš,Ivora,4,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,43,Roman,Melicher,2,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,44,Marek,Malík,2,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,45,Mario,Medvec,0,
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,46,Dagmar,Winklerová,1,
